"","period","mean","lower","upper","since","to"
"1",1,0.00512184006084826,0.00317749621899126,0.00778206437287267,2020-03-23,2020-03-29
"2",2,0.00557676671851023,0.00375434591619966,0.00807385119625891,2020-03-29,2020-04-04
"3",3,0.00441630938953962,0.00313503417932987,0.00614857335571727,2020-04-04,2020-04-10
"4",4,0.00339033648912427,0.00242406185893806,0.00484310242977118,2020-04-10,2020-04-16
"5",5,0.00290937355345041,0.00199585826067229,0.00432509119381245,2020-04-16,2020-04-22
"6",6,0.00284192476093531,0.00194366639289097,0.00425777600446158,2020-04-22,2020-04-28
"7",7,0.0028842455730038,0.00189138821883828,0.00447553541393962,2020-04-28,2020-05-04
"8",8,0.00265869527076938,0.00154928109900185,0.00455951928269622,2020-05-04,2020-05-10
